Fecha,resid
16/09/1997,0.9743437057893731
17/09/1997,0.9763301699418429
18/09/1997,0.9751862475272899
19/09/1997,0.9734540522174685
22/09/1997,0.9736565457434893
23/09/1997,0.973618227761447
24/09/1997,0.9738922251741194
25/09/1997,0.9743193220857451
26/09/1997,0.9744119612414116
29/09/1997,0.9749364828349418
30/09/1997,0.9751270010944673
01/10/1997,0.9722335643689465
02/10/1997,0.9691728329687203
03/10/1997,0.9694079345594877
06/10/1997,0.9700214118881466
07/10/1997,0.9714806250347418
08/10/1997,0.9715209294418412
09/10/1997,0.97100897000906
10/10/1997,0.9719966694429935
13/10/1997,0.973151952483761
14/10/1997,0.9711226926751997
15/10/1997,0.9696017346199444
16/10/1997,0.9691145401789835
17/10/1997,0.9673789764571519
20/10/1997,0.9680175713125104
21/10/1997,0.9687862568143571
22/10/1997,0.9712695600382445
23/10/1997,0.9719062239013223
24/10/1997,0.9747315586838871
27/10/1997,0.9799837854904221
28/10/1997,0.989762032432227
29/10/1997,0.978632547790141
30/10/1997,0.9841705211855345
31/10/1997,0.9851039320925004
03/11/1997,0.9830892320577017
04/11/1997,0.9827552313765795
05/11/1997,0.9859032216542665
06/11/1997,0.9868253114999602
07/11/1997,0.9895472090706051
10/11/1997,0.9895942007111466
11/11/1997,0.9903484959115886
12/11/1997,0.991186739069895
13/11/1997,0.989859234993381
14/11/1997,0.9891913243856196
17/11/1997,0.9875651767216618
18/11/1997,0.9861748824003261
19/11/1997,0.9840604413349112
20/11/1997,0.9826779345930068
21/11/1997,0.9834627007402075
24/11/1997,0.983685795539964
25/11/1997,0.9862147610204053
26/11/1997,0.9839488142061686
27/11/1997,0.9840419980350714
28/11/1997,0.9829625999212952
01/12/1997,0.9830374832598724
02/12/1997,0.9814278508242901
03/12/1997,0.9800346322898877
04/12/1997,0.9796536459872649
05/12/1997,0.9791579892629971
08/12/1997,0.9782827683834738
09/12/1997,0.9786967764076091
10/12/1997,0.9777855598735915
11/12/1997,0.9779654508315451
12/12/1997,0.9773735331411098
15/12/1997,0.9774700257251638
16/12/1997,0.9789043900839778
17/12/1997,0.9775483047342751
18/12/1997,0.9780325008535671
19/12/1997,0.9789364517346385
22/12/1997,0.9787964192066808
23/12/1997,0.9796639614586627
24/12/1997,0.98113764362304
25/12/1997,0.9816189376628295
26/12/1997,0.9807537104332592
29/12/1997,0.9835136557310614
30/12/1997,0.9845724806568753
31/12/1997,0.9845675260361249
01/01/1998,0.9848607152796578
02/01/1998,0.9836637396072545
05/01/1998,0.9837287727000342
06/01/1998,0.9849627923716644
07/01/1998,0.9843882975665812
08/01/1998,0.9873900489230948
09/01/1998,0.985622769775329
12/01/1998,0.9897787840315538
13/01/1998,0.9869296073810483
14/01/1998,0.9880657863445805
15/01/1998,0.9867928502454121
16/01/1998,0.9853458194175478
19/01/1998,0.9833621419214985
20/01/1998,0.9832677531748937
21/01/1998,0.986427448428276
22/01/1998,0.9887928597004064
23/01/1998,0.9882638862443287
26/01/1998,0.9907589905704083
27/01/1998,0.9907052772678487
28/01/1998,0.9892654399827743
29/01/1998,0.9891535024952294
30/01/1998,0.9904792833467037
02/02/1998,0.9962249889732147
03/02/1998,0.9962118375748203
04/02/1998,0.996184126479543
05/02/1998,1.0008315456008583
06/02/1998,1.0033150817173333
09/02/1998,1.0027049681999198
10/02/1998,1.0040364303915146
11/02/1998,1.000239634792378
12/02/1998,0.9954713641838904
13/02/1998,0.9957973391892226
16/02/1998,0.9971659600937878
17/02/1998,0.9953199114680731
18/02/1998,0.9976361012671872
19/02/1998,1.001562943144884
20/02/1998,1.002781699526016
23/02/1998,1.006032170965021
24/02/1998,1.0070995435337085
25/02/1998,1.0044970039862602
26/02/1998,1.0041548753827148
27/02/1998,1.003539710057773
02/03/1998,1.00381625676089
03/03/1998,1.0031855048595955
04/03/1998,1.0018425909069804
05/03/1998,1.000306580008435
06/03/1998,0.9984977282107613
09/03/1998,0.9952658108706612
10/03/1998,0.9919923583463988
11/03/1998,0.9926291673449771
12/03/1998,0.9938479565449939
13/03/1998,0.9946793544585579
16/03/1998,0.9934959183684163
17/03/1998,0.9916543313262356
18/03/1998,0.9909126637510646
19/03/1998,0.9901756042959216
20/03/1998,0.9925784201546478
23/03/1998,0.9952123227395389
24/03/1998,0.9971488757912492
25/03/1998,0.9974633010771244
26/03/1998,0.9957109841126138
27/03/1998,0.9957096131860828
30/03/1998,0.9968937113916787
31/03/1998,0.9931665258422883
01/04/1998,0.9924697225290813
02/04/1998,0.9937777398642574
03/04/1998,0.9938750031889251
06/04/1998,0.99333076033151
07/04/1998,0.9919969137043658
08/04/1998,0.9915795309217458
09/04/1998,0.9915245087312125
10/04/1998,0.9921997902169893
13/04/1998,0.9920165365108781
14/04/1998,0.9928120569199507
15/04/1998,0.9918770321003523
16/04/1998,0.9930963737619274
17/04/1998,0.9912277399302579
20/04/1998,0.9900009254231925
21/04/1998,0.9907356244000026
22/04/1998,0.9920832745610703
23/04/1998,0.9930644618067072
24/04/1998,0.9914671068070722
27/04/1998,0.9916322906212975
28/04/1998,0.9883766154105669
29/04/1998,0.9896335581042224
30/04/1998,0.9899786581725184
01/05/1998,0.9903915571813229
04/05/1998,0.9915887696005787
05/05/1998,0.9911762487986033
06/05/1998,0.9921208748967038
07/05/1998,0.9927847992381689
08/05/1998,0.992324621582138
11/05/1998,0.9920857733967524
12/05/1998,0.9914451357510682
13/05/1998,0.9904289189419136
14/05/1998,0.9881406598481269
15/05/1998,0.9880244612883132
18/05/1998,0.9873425582529877
19/05/1998,0.9871794127502542
20/05/1998,0.9859991538865555
21/05/1998,0.9862185484209117
22/05/1998,0.9862853447484162
25/05/1998,0.9865740008361072
26/05/1998,0.9868126176035721
27/05/1998,0.9881501307613233
28/05/1998,0.9896201253389261
29/05/1998,0.9898531387705115
01/06/1998,0.991691535419019
02/06/1998,0.9901412308160857
03/06/1998,0.9895143709203292
04/06/1998,0.9925278574664247
05/06/1998,0.994749128848344
08/06/1998,0.9957634943723218
09/06/1998,0.9943169207056789
10/06/1998,0.9954220704798912
11/06/1998,0.9959685618007451
12/06/1998,0.9987315359885157
15/06/1998,1.002250208244569
16/06/1998,1.0014519635260655
17/06/1998,0.9985984065551601
18/06/1998,0.9978179313522915
19/06/1998,0.9997521869615748
22/06/1998,1.0049739477006512
23/06/1998,1.0027901013210945
24/06/1998,1.007120661745954
25/06/1998,1.000811902208206
26/06/1998,0.9972382414036285
29/06/1998,0.99636437782034
30/06/1998,0.9974571776944614
01/07/1998,0.9978812801328091
02/07/1998,0.9977347635841511
03/07/1998,0.9938565747158145
06/07/1998,0.9937684784299626
07/07/1998,0.9913235260008264
08/07/1998,0.9915288316345466
09/07/1998,0.9901160288394631
10/07/1998,0.9869712095654467
13/07/1998,0.9853164629304098
14/07/1998,0.9833962415993642
15/07/1998,0.9811705922027685
16/07/1998,0.982012076609316
17/07/1998,0.9805175680405294
20/07/1998,0.9795898480983908
21/07/1998,0.9805494567341134
22/07/1998,0.9797321092090666
23/07/1998,0.9832069092720297
24/07/1998,0.9823152285262711
27/07/1998,0.9832625869669263
28/07/1998,0.9825694833933366
29/07/1998,0.9821511588388872
30/07/1998,0.983175918224682
31/07/1998,0.9836880834268954
03/08/1998,0.98506471763518
04/08/1998,0.9845057633392225
05/08/1998,0.9848065779513796
06/08/1998,0.9865323898939466
07/08/1998,0.9865701684797346
10/08/1998,0.9851353507895396
11/08/1998,0.9853364977936571
12/08/1998,0.9868005117298306
13/08/1998,0.9853600635429006
14/08/1998,0.9829610594970154
17/08/1998,0.9830753471911211
18/08/1998,0.9821617930372966
19/08/1998,0.9801003636317871
20/08/1998,0.9828766756332868
21/08/1998,0.9878341813110332
24/08/1998,0.9874433063770438
25/08/1998,0.9841295637638802
26/08/1998,0.9867816873564599
27/08/1998,0.994263420953846
28/08/1998,0.9974644363275698
31/08/1998,0.9982783804487928
01/09/1998,1.007199078930939
02/09/1998,1.003104650925826
03/09/1998,1.0074986679451678
04/09/1998,1.004791788081189
07/09/1998,1.0023922519636754
08/09/1998,1.0032768121905966
09/09/1998,1.002450687702487
10/09/1998,1.0068414179271308
11/09/1998,1.0054959023750845
14/09/1998,1.001305504583069
15/09/1998,0.994533351239137
16/09/1998,0.9936371252940992
17/09/1998,0.9986788806351545
18/09/1998,0.9910713877248262
21/09/1998,0.9949141492718158
22/09/1998,0.9921813398660149
23/09/1998,0.991879926894242
24/09/1998,0.9936010461698914
25/09/1998,0.9942105993312094
28/09/1998,0.9952531050499936
29/09/1998,0.9947221850770239
30/09/1998,0.9911489488323928
01/10/1998,0.9971901978784333
02/10/1998,0.9917600899116635
05/10/1998,0.9912002815621429
06/10/1998,0.9896494263983661
07/10/1998,0.9907206065374651
08/10/1998,0.9903357327150971
09/10/1998,0.9942611941371349
12/10/1998,0.9958131004960131
13/10/1998,0.9938259241729173
14/10/1998,0.9925431172962911
15/10/1998,0.9888995001448766
16/10/1998,0.9891062961105354
19/10/1998,0.9880427486523061
20/10/1998,0.9866886160651491
21/10/1998,0.9881441484484081
22/10/1998,0.9888379484776292
23/10/1998,0.9883841537043924
26/10/1998,0.986311659259515
27/10/1998,0.9873042161807659
28/10/1998,0.9879754760329315
29/10/1998,0.9917002063050855
30/10/1998,0.9894413426497538
02/11/1998,0.9914025364397769
03/11/1998,0.9944652694194569
04/11/1998,0.992318918195786
05/11/1998,0.9933967496886755
06/11/1998,0.9917261275479234
09/11/1998,0.9922174376591021
10/11/1998,0.9937598773212263
11/11/1998,0.9922592899128221
12/11/1998,0.9929501077752293
13/11/1998,0.9934005181502469
16/11/1998,0.9944751615434991
17/11/1998,0.9933965866951818
18/11/1998,0.9924463042513453
19/11/1998,0.9940768261400533
20/11/1998,0.9937315695367167
23/11/1998,0.9929920179470758
24/11/1998,0.9962087554774004
25/11/1998,0.9980578126370229
26/11/1998,0.99937636555699
27/11/1998,1.0005724608312903
30/11/1998,0.9956949886811536
01/12/1998,0.9986858468890804
02/12/1998,0.9987031904659162
03/12/1998,1.0037681256650939
04/12/1998,1.0035570744826572
07/12/1998,0.9999002906977531
08/12/1998,0.9996200100204915
09/12/1998,0.9976739847800822
10/12/1998,1.000874180137651
11/12/1998,1.0007376162815709
14/12/1998,0.9972948895069009
15/12/1998,0.994502248343703
16/12/1998,0.9938908914334309
17/12/1998,0.9936166393677108
18/12/1998,0.9924734696483387
21/12/1998,0.991627687974158
22/12/1998,0.993751080930018
23/12/1998,0.9913607890571207
24/12/1998,0.990543143300691
25/12/1998,0.9913445467091029
28/12/1998,0.9942996030748735
29/12/1998,0.9960481133755121
30/12/1998,0.9969379412735424
31/12/1998,0.9973529826276184
01/01/1999,0.99683426556651
04/01/1999,0.9965558613533432
05/01/1999,0.9979031888782367
06/01/1999,1.0003121280787228
07/01/1999,1.0022936208240385
08/01/1999,1.0046150815776194
11/01/1999,1.003633961808918
12/01/1999,1.0043732966300125
13/01/1999,1.018332481331881
14/01/1999,1.0292193639055742
15/01/1999,1.0298097592237987
18/01/1999,1.0144395078022568
19/01/1999,1.0162104622163972
20/01/1999,1.0179540165608048
21/01/1999,1.0223453623493675
22/01/1999,1.0248720173909385
25/01/1999,1.0298266791945028
26/01/1999,1.0378133822415447
27/01/1999,1.039122164170956
28/01/1999,1.0419099910336176
29/01/1999,1.0457859195933321
01/02/1999,1.0485049589679922
02/02/1999,1.049127697061357
03/02/1999,1.0546227605060394
04/02/1999,1.052257367163974
05/02/1999,1.0506585540778772
08/02/1999,1.0527926322984453
09/02/1999,1.0531546387697635
10/02/1999,1.0507146405747876
11/02/1999,1.0528788612142121
12/02/1999,1.0539963471689282
15/02/1999,1.050635047346588
16/02/1999,1.0468187560695497
17/02/1999,1.04730410550497
18/02/1999,1.0479652996259006
19/02/1999,1.0492731286814503
22/02/1999,1.0523353016373957
23/02/1999,1.0557389257986505
24/02/1999,1.0555731410246125
25/02/1999,1.0606130995895944
26/02/1999,1.0603808008001445
01/03/1999,1.0516424319199675
02/03/1999,1.0449628376405224
03/03/1999,1.0448135306088586
04/03/1999,1.0456833107449364
05/03/1999,1.0471543364495524
08/03/1999,1.0483994944220654
09/03/1999,1.0452627604282319
10/03/1999,1.0436242517323824
11/03/1999,1.0406755368227205
12/03/1999,1.031895952934825
15/03/1999,1.0244183471195238
16/03/1999,1.023201689487168
17/03/1999,1.0288734827787271
18/03/1999,1.0227988799788408
19/03/1999,1.0209990677100205
22/03/1999,1.022651797842916
23/03/1999,1.0293470037812325
24/03/1999,1.031043514508046
25/03/1999,1.026103658515732
26/03/1999,1.024762845253913
29/03/1999,1.0198058007548882
30/03/1999,1.0151032910030464
31/03/1999,1.0124969459542292
01/04/1999,1.012494289290594
02/04/1999,1.0117330220004628
05/04/1999,1.0137946033492458
06/04/1999,1.0150076492930629
07/04/1999,1.018047114937034
08/04/1999,1.0166301660799666
09/04/1999,1.0156621739611835
12/04/1999,1.016411073732407
13/04/1999,1.014650191640932
14/04/1999,1.0106851906202627
15/04/1999,1.0108190428375232
16/04/1999,1.0116958415808803
19/04/1999,1.0084018482404633
20/04/1999,1.0062393843742468
21/04/1999,1.0067592743155547
22/04/1999,1.0073759455481643
23/04/1999,1.0065597524317769
26/04/1999,1.0065906814129426
27/04/1999,1.0044735580193864
28/04/1999,1.0009927009699546
29/04/1999,1.0038168188866048
30/04/1999,1.0020879621175687
03/05/1999,0.9995295010827955
04/05/1999,0.997268119736729
05/05/1999,0.9985279429823879
06/05/1999,0.999297576838002
07/05/1999,1.0005636827359292
10/05/1999,0.999056454418703
11/05/1999,0.9970895991104122
12/05/1999,0.9977279924354654
13/05/1999,0.9963138307289904
14/05/1999,0.9966786063713631
17/05/1999,0.9973580213088461
18/05/1999,0.9954487844851739
19/05/1999,0.9963517896209813
20/05/1999,0.9962613732622657
21/05/1999,0.9982601683619101
24/05/1999,1.0003431994179397
25/05/1999,1.0051156592991606
26/05/1999,1.00304299830438
27/05/1999,1.0003757626224743
28/05/1999,1.0000340563957255
31/05/1999,1.0005813586899317
01/06/1999,1.0007845994838158
02/06/1999,1.000004460286575
03/06/1999,0.9999198945858885
04/06/1999,0.9998453563613462
07/06/1999,0.9996981882148878
08/06/1999,1.0012616256511748
09/06/1999,1.00261981644649
10/06/1999,1.002624877581908
11/06/1999,1.0010231851420646
14/06/1999,0.9989985430435553
15/06/1999,0.9966058735409636
16/06/1999,0.9966862304111024
17/06/1999,0.996384159179061
18/06/1999,0.9968336615904242
21/06/1999,0.9966235793622713
22/06/1999,0.9953219539816742
23/06/1999,0.9952864860427467
24/06/1999,0.994370090386425
25/06/1999,0.993410110066499
28/06/1999,0.9945471693079624
29/06/1999,0.9949654854587957
30/06/1999,0.9935187212984151
01/07/1999,0.9942289293028214
02/07/1999,0.9918296529738834
05/07/1999,0.9903994982483388
06/07/1999,0.9894680775273296
07/07/1999,0.9902557805175687
08/07/1999,0.9894028015719607
09/07/1999,0.9890238373126038
12/07/1999,0.9885607066701657
13/07/1999,0.9893997115519905
14/07/1999,0.9875405688488831
15/07/1999,0.9868183799846253
16/07/1999,0.9868235275687979
19/07/1999,0.9865936746783488
20/07/1999,0.9868127701384123
21/07/1999,0.9864905514035281
22/07/1999,0.9876868584520669
23/07/1999,0.987599191021077
26/07/1999,0.9895500318881421
27/07/1999,0.9890917865329756
28/07/1999,0.988211753801377
29/07/1999,0.988561251123222
30/07/1999,0.9897046537127524
02/08/1999,0.9893651728504849
03/08/1999,0.9932124808798916
04/08/1999,0.99172422637008
05/08/1999,0.9927082236390309
06/08/1999,0.9937993973253302
09/08/1999,0.9961455682593813
10/08/1999,1.001272741763754
11/08/1999,0.9975700623591799
12/08/1999,0.9944368048943355
13/08/1999,0.9941761471871544
16/08/1999,0.9940876333723536
17/08/1999,0.9938120635341242
18/08/1999,0.995936853416618
19/08/1999,0.995496758878781
20/08/1999,0.995690321052587
23/08/1999,0.992796165161434
24/08/1999,0.9945122769236895
25/08/1999,0.9958946478311275
26/08/1999,0.9961440736673116
27/08/1999,0.9965821095473132
30/08/1999,0.9958390719389741
31/08/1999,0.9986165443475173
01/09/1999,0.9995356203635506
02/09/1999,1.0034710703542618
03/09/1999,1.0034374290436472
06/09/1999,1.001449995723592
07/09/1999,1.0065879015419992
08/09/1999,1.0064414495205014
09/09/1999,1.0045896807530514
10/09/1999,1.0018815938691263
13/09/1999,1.0001325783883213
14/09/1999,1.0019985047997304
15/09/1999,1.0027140940108683
16/09/1999,1.0051364989736422
17/09/1999,1.0041491442051527
20/09/1999,1.0056756974224446
21/09/1999,1.0060688157143096
22/09/1999,1.0054982994054793
23/09/1999,1.0091383382094008
24/09/1999,1.0122081142866661
27/09/1999,1.013602079419394
28/09/1999,1.018268345978377
29/09/1999,1.0171556474845507
30/09/1999,1.018080675228077
01/10/1999,1.0194611802593894
04/10/1999,1.0206524354083473
05/10/1999,1.0210009356867982
06/10/1999,1.0189908361073434
07/10/1999,1.0151142315162198
08/10/1999,1.0151503012362408
11/10/1999,1.0136705574092457
12/10/1999,1.0151473072461952
13/10/1999,1.0163878155483166
14/10/1999,1.0192580353774536
15/10/1999,1.0213948388968344
18/10/1999,1.0201537852125273
19/10/1999,1.0196721138703633
20/10/1999,1.019780006520504
21/10/1999,1.0183330510937887
22/10/1999,1.0176909025102905
25/10/1999,1.0193549467260743
26/10/1999,1.0182335347630265
27/10/1999,1.0221215971897282
28/10/1999,1.023490978757425
29/10/1999,1.0233229837258242
01/11/1999,1.0228774687760613
02/11/1999,1.0226203728413321
03/11/1999,1.022987838344599
04/11/1999,1.024685500901778
05/11/1999,1.024100187088852
08/11/1999,1.0219021351388786
09/11/1999,1.0209457012438856
10/11/1999,1.0222062261343523
11/11/1999,1.0214404881490227
12/11/1999,1.0207852997070914
15/11/1999,1.0190549734112742
16/11/1999,1.0180283358794529
17/11/1999,1.0182673871674552
18/11/1999,1.016604411966416
19/11/1999,1.0152262356270612
22/11/1999,1.017618710596678
23/11/1999,1.0207829846748353
24/11/1999,1.0225835133628498
25/11/1999,1.023759373076938
26/11/1999,1.022887344044244
29/11/1999,1.0215787052628376
30/11/1999,1.0190831818205177
01/12/1999,1.0208099533187645
02/12/1999,1.0188288069734281
03/12/1999,1.016017467278382
06/12/1999,1.0141395713559678
07/12/1999,1.0153305602698017
08/12/1999,1.0156664316905566
09/12/1999,1.0136172646231907
10/12/1999,1.0144201705768174
13/12/1999,1.0135810160073357
14/12/1999,1.0137018935696556
15/12/1999,1.012549045822346
16/12/1999,1.0147790167563158
17/12/1999,1.0147437659747873
20/12/1999,1.01828778905086
21/12/1999,1.0201190205852346
22/12/1999,1.020186387577334
23/12/1999,1.0200150628805793
24/12/1999,1.0223980517920221
27/12/1999,1.0240909525764779
28/12/1999,1.0235417213272997
29/12/1999,1.023831708601357
30/12/1999,1.0241450663030827
31/12/1999,1.0236648724795578
03/01/2000,1.0244022525654293
04/01/2000,1.0269102835184991
05/01/2000,1.0254895470538685
06/01/2000,1.0223436566705222
07/01/2000,1.0241873522752385
10/01/2000,1.0238064576948123
11/01/2000,1.0227928699833042
12/01/2000,1.0227785948240011
13/01/2000,1.0234578657064761
14/01/2000,1.0197172242260653
17/01/2000,1.0170230333797718
18/01/2000,1.0172012415751939
19/01/2000,1.017678182300269
20/01/2000,1.0186629494662516
21/01/2000,1.0168564114388365
24/01/2000,1.0155628409562156
25/01/2000,1.0144881421268392
26/01/2000,1.0153516814341874
27/01/2000,1.0101559985883444
28/01/2000,1.008550303194688
31/01/2000,1.0106825211393122
01/02/2000,1.0045439679399346
02/02/2000,1.0053777215560398
03/02/2000,1.0050281260269187
04/02/2000,1.0068181561873044
07/02/2000,1.006164783089519
08/02/2000,1.0032220443141948
09/02/2000,1.0002486082162025
10/02/2000,0.9987123079404168
11/02/2000,1.0002912387144127
14/02/2000,0.9982814815218102
15/02/2000,0.9955873211345845
16/02/2000,0.9981749331359304
17/02/2000,0.996244440766809
18/02/2000,0.9982638918797552
21/02/2000,1.0017634565772815
22/02/2000,1.002438217466294
23/02/2000,1.001091722622274
24/02/2000,1.0029614436567729
25/02/2000,1.0037464145899435
28/02/2000,1.00190105102954
29/02/2000,0.9994029817362342
01/03/2000,0.9902745608831708
02/03/2000,0.9879291953218546
03/03/2000,0.9862719676949524
06/03/2000,0.9882606299211315
07/03/2000,0.9879362555400432
08/03/2000,0.9847921941191667
09/03/2000,0.9853041058709511
10/03/2000,0.9891723239759977
13/03/2000,0.9911790276439097
14/03/2000,0.9890963160322789
15/03/2000,0.9900674969089069
16/03/2000,0.9944653548353801
17/03/2000,0.9933579829470113
20/03/2000,0.9953305158252733
21/03/2000,0.9957652370683417
22/03/2000,0.9991222395798037
23/03/2000,1.0053390588737154
24/03/2000,1.0090354204126348
27/03/2000,1.0098645226783622
28/03/2000,1.001071301453882
29/03/2000,1.0023998499793008
30/03/2000,1.0059589952070662
31/03/2000,1.0049061167111741
03/04/2000,1.0002772636650907
04/04/2000,1.0004327188152342
05/04/2000,0.9998715654993745
06/04/2000,1.0036880823032819
07/04/2000,1.010465762605236
10/04/2000,1.0040925734304427
11/04/2000,1.0063448186673603
12/04/2000,1.0043413418420628
13/04/2000,0.9989665798288486
14/04/2000,1.0009990243445905
17/04/2000,1.0019996819991148
18/04/2000,1.0014183608000424
19/04/2000,0.9996454839561639
20/04/2000,1.0000507205313331
21/04/2000,1.0000488502892604
24/04/2000,1.0016012356215969
25/04/2000,1.0005481518423216
26/04/2000,1.0022375968190342
27/04/2000,1.0001654560772077
28/04/2000,1.0000791561241815
01/05/2000,0.9996546334115544
02/05/2000,0.9994520178141342
03/05/2000,1.0020135871373625
04/05/2000,1.002051554981383
05/05/2000,1.0031051669830786
08/05/2000,1.004803197942989
09/05/2000,1.0057107953919724
10/05/2000,1.00750521984939
11/05/2000,1.0044083063528926
12/05/2000,1.0037728861374908
15/05/2000,1.0044526189146519
16/05/2000,1.0050566115434996
17/05/2000,1.0046778608171925
18/05/2000,1.0042405337932032
19/05/2000,1.0080575009449817
22/05/2000,1.0088763876594775
23/05/2000,1.0096117932264512
24/05/2000,1.006639688290306
25/05/2000,1.0071052732895953
26/05/2000,1.010429863486854
29/05/2000,1.0058736176585
30/05/2000,1.0065075521070121
31/05/2000,1.002723088560861
01/06/2000,0.9998364450695315
02/06/2000,0.998929097885025
05/06/2000,0.998041353111724
06/06/2000,0.997373533230393
07/06/2000,0.9953087563200465
08/06/2000,0.9953624705167017
09/06/2000,0.9938215281344507
12/06/2000,0.9939359053258485
13/06/2000,0.9948419201324489
14/06/2000,0.9955844906656479
15/06/2000,0.9949105054436218
16/06/2000,0.9945246275503578
19/06/2000,0.9955136819726339
20/06/2000,0.9961274048325492
21/06/2000,0.9972129079171274
22/06/2000,0.9982461394269518
23/06/2000,0.9979457092765363
26/06/2000,0.9980231653185412
27/06/2000,0.9979388054292522
28/06/2000,0.9957667488866921
29/06/2000,0.9949138266712488
30/06/2000,0.9947873087128061
03/07/2000,0.9953047587005813
04/07/2000,0.9949618207073625
05/07/2000,0.9969189517565007
06/07/2000,0.9965197081611572
07/07/2000,0.9954163963668708
10/07/2000,0.9950736942913037
11/07/2000,0.9940227923617881
12/07/2000,0.9937910794703783
13/07/2000,0.9945815456244339
14/07/2000,0.9942563620646074
17/07/2000,0.9923959623789574
18/07/2000,0.9920069676250521
19/07/2000,0.9928853239247183
20/07/2000,0.9922778414358966
21/07/2000,0.9930734236715106
24/07/2000,0.9928323877664511
25/07/2000,0.9922111642321556
26/07/2000,0.9916376912190288
27/07/2000,0.9908021557174167
28/07/2000,0.9905538420333108
31/07/2000,0.9903937850539875
01/08/2000,0.9901477210473525
02/08/2000,0.9912776297971246
03/08/2000,0.9911963349408839
04/08/2000,0.9904928461608696
07/08/2000,0.9895854608437524
08/08/2000,0.9876877987613073
09/08/2000,0.9879430325650325
10/08/2000,0.9880614209839949
11/08/2000,0.9890306535037592
14/08/2000,0.9871919473966185
15/08/2000,0.9850154550644213
16/08/2000,0.9846963549225569
17/08/2000,0.9818366813633894
18/08/2000,0.9826812985313147
21/08/2000,0.9846548161769856
22/08/2000,0.9843026348588142
23/08/2000,0.9850801141937425
24/08/2000,0.9860102455926946
25/08/2000,0.9853408438688768
28/08/2000,0.9841639731001907
29/08/2000,0.9836332508323378
30/08/2000,0.9828305612192882
31/08/2000,0.9818475007843368
01/09/2000,0.981893927619319
04/09/2000,0.9832800516036637
05/09/2000,0.9833956303224897
06/09/2000,0.9831856927005764
07/09/2000,0.9834033064531558
08/09/2000,0.9846348597725593
11/09/2000,0.9832942469885161
12/09/2000,0.9821797844275791
13/09/2000,0.9813274114220042
14/09/2000,0.981739261619085
15/09/2000,0.9821989536993371
18/09/2000,0.988783545464939
19/09/2000,0.9885533953833877
20/09/2000,0.992405545883269
21/09/2000,0.9864246142116373
22/09/2000,0.9871938190275809
