,Tipo_Cambio_Proyectado
2024-06-05,
2024-06-06,3.7477263425870215
2024-06-07,3.748387427479339
2024-06-08,3.748595240834314
2024-06-09,3.748321223949356
2024-06-10,3.7485125487876947
2024-06-11,3.7485094638072325
2024-06-12,3.748409704599214
2024-06-13,3.7485005374905676
2024-06-14,3.7484754893841146
2024-06-15,3.748447443693438
2024-06-16,3.7484861516013805
2024-06-17,3.748467396829808
2024-06-18,3.748462583960211
2024-06-19,3.748477225467466
2024-06-20,3.7484669231365793
2024-06-21,3.748467943518381
2024-06-22,3.7484727414537558
2024-06-23,3.748467927900317
2024-06-24,3.7484695352973576
2024-06-25,3.7484707757822457
2024-06-26,3.748468787690891
2024-06-27,3.7484698617494923
2024-06-28,3.7484700108624183
2024-06-29,3.7484692844060534
2024-06-30,3.74846984520308
2024-07-01,3.748469750621895
2024-07-02,3.7484695240213686
2024-07-03,3.7484697770327022
2024-07-04,3.748469678382238
2024-07-05,3.748469625720817
2024-07-06,3.748469726950961
2024-07-07,3.74846966644978
2024-07-08,3.7484696640040664
2024-07-09,3.748469699652602
2024-07-10,3.748469669437258
2024-07-11,3.7484696764660064
2024-07-12,3.7484696869634906
2024-07-13,3.748469673777489
2024-07-14,3.7484696796449186
2024-07-15,3.748469681746397
2024-07-16,3.7484696766382477
2024-07-17,3.748469679998806
2024-07-18,3.7484696798498005
2024-07-19,3.7484696781219453
2024-07-20,3.748469679734525
2024-07-21,3.7484696792627257
2024-07-22,3.748469678788094
2024-07-23,3.7484696794695127
2024-07-24,3.748469679128749
2024-07-25,3.748469679053403
2024-07-26,3.7484696793087124
2024-07-27,3.748469679124319
2024-07-28,3.748469679146316
2024-07-29,3.748469679228884
2024-07-30,3.7484696791435916
2024-07-31,3.748469679173428
2024-08-01,3.748469679194209
2024-08-02,3.748469679159294
2024-08-03,3.748469679178713
2024-08-04,3.748469679180839
2024-08-05,3.7484696791682093
2024-08-06,3.748469679178217
2024-08-07,3.748469679176344
2024-08-08,3.748469679172464
2024-08-09,3.7484696791769365
2024-08-10,3.7484696791751233
2024-08-11,3.7484696791742538
2024-08-12,3.748469679176027
2024-08-13,3.7484696791749377
2024-08-14,3.748469679174921
2024-08-15,3.7484696791755385
2024-08-16,3.7484696791750007
2024-08-17,3.748469679175135
2024-08-18,3.7484696791753134
2024-08-19,3.7484696791750807
2024-08-20,3.7484696791751877
2024-08-21,3.7484696791752214
2024-08-22,3.748469679175132
2024-08-23,3.7484696791751926
2024-08-24,3.7484696791751886
2024-08-25,3.748469679175159
2024-08-26,3.7484696791751873
2024-08-27,3.7484696791751784
2024-08-28,3.7484696791751704
2024-08-29,3.7484696791751824
2024-08-30,3.748469679175176
2024-08-31,3.748469679175175
2024-09-01,3.7484696791751793
2024-09-02,3.748469679175176
2024-09-03,3.7484696791751766
2024-09-04,3.748469679175178
2024-09-05,3.7484696791751766
2024-09-06,3.748469679175177
2024-09-07,3.7484696791751775
2024-09-08,3.748469679175177
2024-09-09,3.7484696791751775
2024-09-10,3.7484696791751775
2024-09-11,3.7484696791751775
2024-09-12,3.7484696791751775
2024-09-13,3.7484696791751775
2024-09-14,3.7484696791751775
2024-09-15,3.7484696791751775
2024-09-16,3.7484696791751775
2024-09-17,3.7484696791751775
2024-09-18,3.7484696791751775
2024-09-19,3.7484696791751775
2024-09-20,3.7484696791751775
2024-09-21,3.7484696791751775
2024-09-22,3.7484696791751775
2024-09-23,3.7484696791751775
2024-09-24,3.7484696791751775
2024-09-25,3.7484696791751775
2024-09-26,3.7484696791751775
2024-09-27,3.7484696791751775
2024-09-28,3.7484696791751775
2024-09-29,3.7484696791751775
2024-09-30,3.7484696791751775
2024-10-01,3.7484696791751775
2024-10-02,3.7484696791751775
2024-10-03,3.7484696791751775
2024-10-04,3.7484696791751775
2024-10-05,3.7484696791751775
2024-10-06,3.7484696791751775
2024-10-07,3.7484696791751775
2024-10-08,3.7484696791751775
2024-10-09,3.7484696791751775
2024-10-10,3.7484696791751775
2024-10-11,3.7484696791751775
2024-10-12,3.7484696791751775
2024-10-13,3.7484696791751775
2024-10-14,3.7484696791751775
2024-10-15,3.7484696791751775
2024-10-16,3.7484696791751775
2024-10-17,3.7484696791751775
2024-10-18,3.7484696791751775
2024-10-19,3.7484696791751775
2024-10-20,3.7484696791751775
2024-10-21,3.7484696791751775
2024-10-22,3.7484696791751775
2024-10-23,3.7484696791751775
2024-10-24,3.7484696791751775
2024-10-25,3.7484696791751775
2024-10-26,3.7484696791751775
2024-10-27,3.7484696791751775
2024-10-28,3.7484696791751775
2024-10-29,3.7484696791751775
2024-10-30,3.7484696791751775
2024-10-31,3.7484696791751775
2024-11-01,3.7484696791751775
2024-11-02,3.7484696791751775
2024-11-03,3.7484696791751775
2024-11-04,3.7484696791751775
2024-11-05,3.7484696791751775
2024-11-06,3.7484696791751775
2024-11-07,3.7484696791751775
2024-11-08,3.7484696791751775
2024-11-09,3.7484696791751775
2024-11-10,3.7484696791751775
2024-11-11,3.7484696791751775
2024-11-12,3.7484696791751775
2024-11-13,3.7484696791751775
2024-11-14,3.7484696791751775
2024-11-15,3.7484696791751775
2024-11-16,3.7484696791751775
2024-11-17,3.7484696791751775
2024-11-18,3.7484696791751775
2024-11-19,3.7484696791751775
2024-11-20,3.7484696791751775
2024-11-21,3.7484696791751775
2024-11-22,3.7484696791751775
2024-11-23,3.7484696791751775
2024-11-24,3.7484696791751775
2024-11-25,3.7484696791751775
2024-11-26,3.7484696791751775
2024-11-27,3.7484696791751775
2024-11-28,3.7484696791751775
2024-11-29,3.7484696791751775
2024-11-30,3.7484696791751775
2024-12-01,3.7484696791751775
2024-12-02,3.7484696791751775
2024-12-03,3.7484696791751775
2024-12-04,3.7484696791751775
2024-12-05,3.7484696791751775
2024-12-06,3.7484696791751775
2024-12-07,3.7484696791751775
2024-12-08,3.7484696791751775
2024-12-09,3.7484696791751775
2024-12-10,3.7484696791751775
2024-12-11,3.7484696791751775
2024-12-12,3.7484696791751775
2024-12-13,3.7484696791751775
2024-12-14,3.7484696791751775
2024-12-15,3.7484696791751775
2024-12-16,3.7484696791751775
2024-12-17,3.7484696791751775
2024-12-18,3.7484696791751775
2024-12-19,3.7484696791751775
2024-12-20,3.7484696791751775
2024-12-21,3.7484696791751775
2024-12-22,3.7484696791751775
2024-12-23,3.7484696791751775
2024-12-24,3.7484696791751775
2024-12-25,3.7484696791751775
2024-12-26,3.7484696791751775
2024-12-27,3.7484696791751775
2024-12-28,3.7484696791751775
2024-12-29,3.7484696791751775
2024-12-30,3.7484696791751775
2024-12-31,3.7484696791751775
2025-01-01,3.7484696791751775
2025-01-02,3.7484696791751775
2025-01-03,3.7484696791751775
2025-01-04,3.7484696791751775
2025-01-05,3.7484696791751775
2025-01-06,3.7484696791751775
2025-01-07,3.7484696791751775
2025-01-08,3.7484696791751775
2025-01-09,3.7484696791751775
2025-01-10,3.7484696791751775
2025-01-11,3.7484696791751775
2025-01-12,3.7484696791751775
2025-01-13,3.7484696791751775
2025-01-14,3.7484696791751775
2025-01-15,3.7484696791751775
2025-01-16,3.7484696791751775
2025-01-17,3.7484696791751775
2025-01-18,3.7484696791751775
2025-01-19,3.7484696791751775
2025-01-20,3.7484696791751775
2025-01-21,3.7484696791751775
2025-01-22,3.7484696791751775
2025-01-23,3.7484696791751775
2025-01-24,3.7484696791751775
2025-01-25,3.7484696791751775
2025-01-26,3.7484696791751775
2025-01-27,3.7484696791751775
2025-01-28,3.7484696791751775
2025-01-29,3.7484696791751775
2025-01-30,3.7484696791751775
2025-01-31,3.7484696791751775
2025-02-01,3.7484696791751775
2025-02-02,3.7484696791751775
2025-02-03,3.7484696791751775
2025-02-04,3.7484696791751775
2025-02-05,3.7484696791751775
2025-02-06,3.7484696791751775
2025-02-07,3.7484696791751775
2025-02-08,3.7484696791751775
2025-02-09,3.7484696791751775
2025-02-10,3.7484696791751775
2025-02-11,3.7484696791751775
2025-02-12,3.7484696791751775
2025-02-13,3.7484696791751775
2025-02-14,3.7484696791751775
2025-02-15,3.7484696791751775
2025-02-16,3.7484696791751775
2025-02-17,3.7484696791751775
2025-02-18,3.7484696791751775
2025-02-19,3.7484696791751775
2025-02-20,3.7484696791751775
2025-02-21,3.7484696791751775
2025-02-22,3.7484696791751775
2025-02-23,3.7484696791751775
2025-02-24,3.7484696791751775
2025-02-25,3.7484696791751775
2025-02-26,3.7484696791751775
2025-02-27,3.7484696791751775
2025-02-28,3.7484696791751775
2025-03-01,3.7484696791751775
2025-03-02,3.7484696791751775
2025-03-03,3.7484696791751775
2025-03-04,3.7484696791751775
2025-03-05,3.7484696791751775
2025-03-06,3.7484696791751775
2025-03-07,3.7484696791751775
2025-03-08,3.7484696791751775
2025-03-09,3.7484696791751775
2025-03-10,3.7484696791751775
2025-03-11,3.7484696791751775
2025-03-12,3.7484696791751775
2025-03-13,3.7484696791751775
2025-03-14,3.7484696791751775
2025-03-15,3.7484696791751775
2025-03-16,3.7484696791751775
2025-03-17,3.7484696791751775
2025-03-18,3.7484696791751775
2025-03-19,3.7484696791751775
2025-03-20,3.7484696791751775
2025-03-21,3.7484696791751775
2025-03-22,3.7484696791751775
2025-03-23,3.7484696791751775
2025-03-24,3.7484696791751775
2025-03-25,3.7484696791751775
2025-03-26,3.7484696791751775
2025-03-27,3.7484696791751775
2025-03-28,3.7484696791751775
2025-03-29,3.7484696791751775
2025-03-30,3.7484696791751775
2025-03-31,3.7484696791751775
2025-04-01,3.7484696791751775
2025-04-02,3.7484696791751775
2025-04-03,3.7484696791751775
2025-04-04,3.7484696791751775
2025-04-05,3.7484696791751775
2025-04-06,3.7484696791751775
2025-04-07,3.7484696791751775
2025-04-08,3.7484696791751775
2025-04-09,3.7484696791751775
2025-04-10,3.7484696791751775
2025-04-11,3.7484696791751775
2025-04-12,3.7484696791751775
2025-04-13,3.7484696791751775
2025-04-14,3.7484696791751775
2025-04-15,3.7484696791751775
2025-04-16,3.7484696791751775
2025-04-17,3.7484696791751775
2025-04-18,3.7484696791751775
2025-04-19,3.7484696791751775
2025-04-20,3.7484696791751775
2025-04-21,3.7484696791751775
2025-04-22,3.7484696791751775
2025-04-23,3.7484696791751775
2025-04-24,3.7484696791751775
2025-04-25,3.7484696791751775
2025-04-26,3.7484696791751775
2025-04-27,3.7484696791751775
2025-04-28,3.7484696791751775
2025-04-29,3.7484696791751775
2025-04-30,3.7484696791751775
2025-05-01,3.7484696791751775
2025-05-02,3.7484696791751775
2025-05-03,3.7484696791751775
